기본정보,,,,,,,,,,,,,,,,성분 비율 (수분 0%),,,,,,,
급여 대상,브랜드,사료 번호,사료 이름,특정 종 대상,단백질원,주원료,Kcal/100g,동물크기,사료종목,제조국,급여연령,급여시기, 유기농여부,키블크기(mm),기타,조단백질,조회분,오메가3,칼슘,조지방,조섬유,오메가6,인
강아지,에이앤에프(ANF),38, 6Free 소고기,전체,"소, 연어","소고기, 연어, 쌀, 현미, 옥수수, 귀리, 정제계유, 보리, 참깨박, 천연향미제, 아마씨, 해바라기씨, 비트펄프, 녹두, 메밀, 고구마, 백반석, 당근, 호박, 호박씨, 해바라기박, 브로콜리, 파슬리, 바나나, 사과, 오렌지, 망고, 딸기, 로즈마리추출물, 천일염, 유카추출물 ",357.2,무관,건식(반건식),대한민국,3~max,없음,Y,0,,29.21,8.99,X,1.12,11.24,6.74,X,0.45
강아지,에이앤에프(ANF),39,더블미트 연어 포 독,전체 ,연어,"연어, 쌀, 옥수수, 정제계유, 천연향미제, 현미, 귀리, 해바라기박, 보리, 쌀, 비트펄프, 참깨박, 아마씨, 해바라기씨, 녹두, 메밀, 고구마, 정제염, 당근, 호박, 유카추출물, 호박씨, 맥반석, 로즈마리추출물 ",361.7,무관,건식(반건식),대한민국,4~max,없음,Y,0,,33.71,11.24,X,1.12,13.48,8.99,X,0.45
강아지,에이앤에프(ANF),40,더블미트 양 포 독,전체,"양, 연어","양, 연어, 옥수수, 쌀, 정제계유, 천연향미제, 현미, 귀리, 해바라기박, 보리, 쌀, 비트펄프, 참깨박, 아마씨, 해바라기씨, 녹두, 메밀, 고구마, 정제염, 당근, 호박, 유카추출물, 호박씨, 맥반석, 로즈마리추출물 ",364.4,무관,건식(반건식),대한민국,5~max,없음,Y,0,,33.71,11.24,X,1.12,13.48,8.99,X,0.45
강아지,에이앤에프(ANF),41,더블미트 소고기 포 독,전체,"소, 연어","소고기, 연어, 옥수수, 쌀, 정제계유, 천연향미제, 현미, 귀리, 해바라기박, 보리, 쌀, 비트펄프, 참깨박, 아마씨, 해바라기씨, 호박추출물, 호박씨, 맥반석, 로즈마리추출물 ",362.9,무관,건식(반건식),대한민국,6~max,없음,Y,0,,33.71,11.24,X,1.12,13.48,8.99,X,0.45
강아지,에이앤에프(ANF),42,홀리스틱 그레프리 닭고기와 감자 ,전체 ,"닭, 감자","닭, 감자, 병아리콩, 완두, 닭기름, 렌틸콩, 고구마, 비트펄프, 연어, 계란, 당근, 크랜베리, 페퍼민트, 캐모마일, 로즈마리, 민들레, 토마토, 블루베리, 오렌지, 가수분해닭, 어유, 맥주효모, 다시다, 정제소금",375,무관,건식(반건식),호주 ,7~max,없음,N,0,,29.55,10.23,X,1.61,13.64,5.68,X,1.02
강아지,에이앤에프(ANF),43,홀리스틱 그레프리 칠면조와 병아리콩,전체,"칠면조, 병아리콩","칠면조, 완두, 병아리콩, 완두, 닭, 아마, 당근, 크랜베리, 페퍼민트, 캐모마일, 로즈마리, 민들레, 토마토, 블루베리, 가수분해닭, 어유, 계란분말, 오렌지식이섬유, 로즈마리추출물",391,무관,건식(반건식),호주 ,8~max,없음,N,0,,32.95,11.36,X,1.59,21.59,3.98,X,1.14
강아지,에이앤에프(ANF),44,홀리스틱 그레프리 연어와 병아리콩,전체,"연어, 병아리콩, 닭","연어, 병아리콩, 닭, 완두, 닭기름, 아마, 어분, 당근, 크랜베리, 페퍼민트, 캐모마일, 로즈마리, 민들레, 토마토, 블루베리, 가수분해닭, 맥주효모, 오렌지, 정제소금, 계란, 어유, 해바라기유, 로즈마리추출물",381,무관,건식(반건식),미국,9~max,없음,N,0,,30.68,11.36,X,1.36,17.05,3.98,X,1.02
강아지,에이앤에프(ANF),45,ANF 램 홀리스틱 올라이프 스테이지 (All Life Stages),전체,"양, 닭, 어류","양, 현미쌀, 통귀리, 쌀겨, 닭, 흰살생선, 비트펄프, 양향미제, 아마씨, 생선오일, 소금, 블루베리, 민들레, 페퍼민트, 토마토, 유카추출물, 강황",320.8,무관,건식(반건식),호주 ,0~max,없음,N,0,,24.44,12.22,0.5,1.61,13.33,5,2.8,0.89
강아지,에이앤에프(ANF),46,MWO  연어 & 감자 ,전체,"연어, 오리","오리, 연어, 동물성가수분해단백질양, 쌀, 식물성단백질, 통소맥, 정제계유, 비트펄프, 대두박, 현미, 감자, 밀, 해바라기씨박, 보리, 아마씨, 참깨박, 해바라기씨, 치즈, 맥반석, 녹두, 메밀, 고구마, 당근, 호박, 호박씨, 천일염, 유카추출물, 토마토, 브로콜리, 파슬리, 비트, 블루베리, 바나나, 딸기, 사과, 오렌지, 망고",333,무관,건식(반건식),대한민국,3~max,없음,Y,0,,28.26,8.7,X,1.58,13.04,6.52,X,1.3
강아지,에이앤에프(ANF),47,MWO  오리 & 귀리 ,전체,"오리, 양, 연어","오리, 동물성가수분해단백질양, 연어, 쌀, 식물성단백질, 통귀리, 정제계유, 대두박, 비트펄프, 현미, 쌀, 밀, 해바라기씨박, 보리, 아마씨, 참깨박, 해바라기씨, 치즈, 맥반석, 고구마, 녹두, 메밀, 당근, 호박, 호박씨, 천일염, 유카추출물, 토마토, 브로콜리 ,파슬리, 비트, 블루베리, 바나나, 딸기, 사과, 오렌지, 망고",330,무관,건식(반건식),대한민국,3~max,없음,Y,0,,28.26,8.7,X,1.09,13.04,6.52,X,1.3
강아지,에이앤에프(ANF),48,6Free 플러스 소고기 + 연어 포독,전체,"소, 연어","소고기, 연어, 쌀, 옥수수, 현미, 옥수수, 귀리, 정제계유, 보리, 참깨박, 천연향미제, 아마씨, 해바라기씨, 비트펄프, 녹두, 메밀, 고구마, 맥반석, 당근, 호박, 호박씨, 해바라기박, 브로콜리, 파슬리, 바나나, 사과, 오렌지, 망고, 딸기, 로즈마리추출물, 천일염, 유카추출물",357.2,무관,건식(반건식),대한민국,0~max,없음,Y,0,,30.34,6.74,X,1.31,11.24,8.99,X,0.45
강아지,에이앤에프(ANF),49,6Free 플러스 연어 + 흰살생선 포독,전체 ,"연어, 흰살생선","연어, 흰살생선, 닭, 쌀, 현미, 귀리, 보리, 옥수수, 참깨박, 정제계유, 옥수수, 천연향미제, 아마씨, 해바라기씨, 비트펄프, 녹두, 메밀, 고구마, 당근, 호박, 맥반석, 호박씨, 해바라기박, 브로콜리, 파슬리, 바나나, 사과, 오렌지, 망고, 딸기, 로즈마리추출물,   천일염, 유카추출물",357.4,무관,건식(반건식),대한민국,0~max,없음,Y,0,,30.34,8.99,X,1.12,11.24,6.74,X,0.45
강아지,에이앤에프(ANF),50,6Free 플러스 양 + 쌀 포독,전체,"양, 연어, 닭","양, 연어, 닭고기, 쌀, 옥수수, 현미, 귀리, 옥수수, 보리, 정제계유, 참깨박, 천연향미제, 아마씨, 해바라기씨, 비트펄프, 녹두, 메밀, 고구마, 맥반석, 당근, 호박, 호박씨, 해바라기박, 브로콜리, 파슬리, 바나나, 사과, 오렌지, 망고, 딸기, 로즈마리추출물,     천일염, 유카추출물",356.4,무관,건식(반건식),대한민국,0~max,없음,Y,0,,30.34,8.99,X,1.12,11.24,6.74,X,0.45
강아지,에이앤에프(ANF),51,ANF 램 28,전체,양,"양, 곡분, 쌀, 쌀겨, 닭지방, 양향미제, 맥주효모, 소금, 생선오일, 강황",370.6,무관,건식(반건식),호주 ,0~max,없음,N,0,,31.11,12.22,X,1.61,13.33,5,X,0.89
강아지,에이앤에프(ANF),52,6Free 골드 소고기 + 연어,전체,"소, 연어","소고기, 연어, 쌀, 옥수수, 정제계유, 비트펄프, 현미, 해바라기박, 귀리, 천연향미제, 보리, 아마씨, 참깨박, 맥반석, 해바라기씨, 녹두, 메밀, 고구마, 당근, 호박, 호박씨, 유산균, 브로콜리, 파슬리, 바나나, 사과, 오렌지, 망고, 딸기,  로즈마리추출물, 천일염, 유카추출물",312,무관,건식(반건식),대한민국,0~max,없음,Y,0,,30.34,8.99,X,1.12,11.24,6.74,X,0.45
강아지,에이앤에프(ANF),53,6Free 골드 연어 + 흰살생선,전체,"연어, 흰살생선","연어, 흰살생선, 닭고기, 쌀, 옥수수, 정제계유, 비트펄프, 현미, 해바라기박, 귀리, 보리, 천연향미제, 아마씨, 참깨박, 맥반석, 해바라기씨, 녹두, 메밀, 고구마, 당근, 호박, 호박씨, 유산균, 브로콜리, 파슬리, 바나나, 사과, 오렌지, 망고, 딸기, 로즈마리추출물, 천일염, 유카추출물 ",312,무관,건식(반건식),대한민국,0~max,없음,Y,0,,30.34,8.99,X,1.12,11.24,6.74,X,0.45
강아지,에이앤에프(ANF),54,6Free 골드 오리 + 연어,전체,"오리, 연어, 닭","오리, 연어, 닭, 쌀, 옥수수, 정제계유, 비트펄프, 현미, 귀리, 해바라기박, 보리, 천연향미제, 아마씨, 참깨박, 맥반석, 해바라기씨, 녹두, 메밀, 고구마, 당근, 호박, 호박씨, 유산균, 브로콜리, 파슬리, 바나나, 사과, 오렌지, 망고, 딸기, 로즈마리추출물, 천일염, 유카추출물",312,무관,건식(반건식),대한민국,0~max,없음,Y,0,,30.9,8.99,X,1.12,10.67,6.74,X,0.45
